network,heuristic,removals,static,threshold,rem_num,network_size,critical_threshold,dismantle_time
net1-BC_11_1,BruteForce,"[2, 3]",TRUE,0.8,2,5,0.4,0
net1-BC_10_2,BruteForce,"[2, 3]",TRUE,0.8,2,5,0.4,0
net1-BC_10_1,BruteForce,[1],TRUE,0.8,1,5,0.2,0
net1-BC_13_1,BruteForce,[2],TRUE,1,1,4,0.25,0
net1-BC_9_1,BruteForce,[1],TRUE,0.8,1,5,0.2,0
net1-BC_7_1,BruteForce,"[1, 2]",TRUE,0.666667,2,6,0.333333,0
net1-BC_8_1,BruteForce,"[1, 2]",TRUE,0.666667,2,6,0.333333,0
net1-BC_8_2,BruteForce,"[2, 3, 1]",TRUE,0.666667,3,6,0.5,0
net1-BC_9_2,BruteForce,"[2, 3, 1]",TRUE,0.666667,3,6,0.5,0
net1-BC_12_1,BruteForce,"[2, 3]",TRUE,0.8,2,5,0.4,0
net1-DC_12_1,BruteForce,[3],TRUE,0.666667,1,6,0.166667,0
net1-DC_13_1,BruteForce,[2],TRUE,0.8,1,5,0.2,0
net1-BC_7_2,BruteForce,"[3, 2, 4]",TRUE,0.571429,3,7,0.428571,0
net1-DC_11_1,BruteForce,"[5, 2]",TRUE,0.5,2,8,0.25,0
net1-DC_14_1,BruteForce,[3],TRUE,1,1,4,0.25,0
net1-BC_6_1,BruteForce,"[6, 1, 2]",TRUE,0.571429,3,7,0.428571,0
net1-BC_6_2,BruteForce,"[3, 2, 4]",TRUE,0.571429,3,7,0.428571,0
net1-DC_10_1,BruteForce,"[6, 3, 2]",TRUE,0.444444,3,9,0.333333,0
net1-DC_9_1,BruteForce,"[5, 4, 9, 3]",TRUE,0.4,4,10,0.4,0
net1-Opt_10_1,BruteForce,[3],TRUE,1,1,4,0.25,0
net1-DC_8_1,BruteForce,"[4, 8, 5, 3]",TRUE,0.363636,4,11,0.363636,0
net1-DC_7_1,BruteForce,"[9, 4, 5, 8, 3]",TRUE,0.333333,5,12,0.416667,0
net1-DC_6_1,BruteForce,"[6, 7, 5, 11, 3]",TRUE,0.285714,5,14,0.357143,0
net1-DC_5_1,BruteForce,"[8, 7, 3, 12, 11, 5]",TRUE,0.266667,6,15,0.4,0
net1-BC_5_1,BruteForce,"[14, 2, 8, 1, 7, 6]",TRUE,0.266667,6,15,0.4,0
net1-Opt_6_1,BruteForce,"[7, 6, 11, 10, 4]",TRUE,0.285714,5,14,0.357143,0
net1-Opt_7_1,BruteForce,"[9, 5, 12, 8]",TRUE,0.307692,4,13,0.307692,0
net1-Opt_8_1,BruteForce,"[8, 11, 7]",TRUE,0.333333,3,12,0.25,0
net1-Opt_9_1,BruteForce,"[7, 8]",TRUE,0.363636,2,11,0.181818,0
net1-Opt_5_1,BruteForce,"[8, 7, 3, 12, 11, 5]",TRUE,0.266667,6,15,0.4,0
net1-Rand_10_1,BruteForce,"[4, 9, 5]",TRUE,0.4,3,10,0.3,0
net1-Rand_11_1,BruteForce,"[8, 4]",TRUE,0.444444,2,9,0.222222,0
net1-Rand_12_1,BruteForce,[4],TRUE,0.571429,1,7,0.142857,0
net1-Rand_13_1,BruteForce,[3],TRUE,1,1,4,0.25,0
net1-Rand_14_1,BruteForce,[3],TRUE,1,1,4,0.25,0
net1-DC_4_1,BruteForce,"[4, 6, 8, 9, 12, 13, 1]",TRUE,0.25,7,16,0.4375,0
net1-BC_4_1,BruteForce,"[15, 2, 8, 1, 12, 7, 6]",TRUE,0.25,7,16,0.4375,0
net1-Opt_4_1,BruteForce,"[4, 6, 8, 9, 12, 13, 1]",TRUE,0.25,7,16,0.4375,0
net1-BC_3_1,BruteForce,"[16, 2, 8, 9, 1, 13, 6, 12]",TRUE,0.235294,8,17,0.470588,0
net1-Opt_3_1,BruteForce,"[5, 7, 9, 10, 13, 1, 2, 14]",TRUE,0.235294,8,17,0.470588,0
net1-Rand_6_1,BruteForce,"[13, 3, 10, 7, 5]",TRUE,0.285714,5,14,0.357143,0
net1-Rand_7_1,BruteForce,"[9, 12, 6, 4]",TRUE,0.307692,4,13,0.307692,0
net1-Rand_8_1,BruteForce,"[8, 11, 5, 3]",TRUE,0.333333,4,12,0.333333,0
net1-Rand_9_1,BruteForce,"[5, 10, 6]",TRUE,0.363636,3,11,0.272727,0
net1-Rand_4_1,BruteForce,"[15, 8, 1, 2, 6, 7, 12]",TRUE,0.25,7,16,0.4375,0
net1-Rand_5_1,BruteForce,"[14, 7, 13, 5, 3, 10]",TRUE,0.266667,6,15,0.4,0
net1-DC_3_1,BruteForce,"[5, 7, 9, 10, 13, 1, 2, 14]",TRUE,0.235294,8,17,0.470588,0
net1-Rand_3_1,BruteForce,"[16, 1, 2, 9, 0, 5, 7, 12]",TRUE,0.235294,8,17,0.470588,0
net1-DC_2_1,BruteForce,"[17, 5, 7, 9, 10, 1, 14, 13, 2]",TRUE,0.222222,9,18,0.5,0
net1-Opt_2_1,BruteForce,"[17, 5, 7, 9, 10, 1, 14, 13, 2]",TRUE,0.222222,9,18,0.5,0
net1-BC_2_1,BruteForce,"[17, 2, 7, 9, 10, 1, 14, 5, 13]",TRUE,0.222222,9,18,0.5,0
net1-Rand_2_1,BruteForce,"[17, 2, 1, 5, 6, 8, 10, 0, 13]",TRUE,0.222222,9,18,0.5,0
net1-Opt_1_1,BruteForce,"[18, 2, 1, 5, 6, 8, 10, 0, 14, 13]",TRUE,0.210526,10,19,0.526316,0
net1-BC_1_1,BruteForce,"[18, 2, 1, 5, 6, 8, 10, 0, 14, 13]",TRUE,0.210526,10,19,0.526316,0
net1-DC_1_1,BruteForce,"[18, 2, 1, 5, 6, 8, 10, 0, 14, 13]",TRUE,0.210526,10,19,0.526316,0
net1-Rand_1_1,BruteForce,"[18, 2, 14, 1, 17, 3, 6, 8, 10, 13]",TRUE,0.210526,10,19,0.526316,0
net1-DC_0_1,BruteForce,"[15, 19, 2, 1, 18, 3, 6, 8, 13, 14, 10]",TRUE,0.2,11,20,0.55,0
net1-BC_0_1,BruteForce,"[15, 19, 2, 1, 18, 3, 6, 8, 13, 14, 10]",TRUE,0.2,11,20,0.55,0
net1-Opt_0_1,BruteForce,"[15, 19, 2, 1, 18, 3, 6, 8, 13, 14, 10]",TRUE,0.2,11,20,0.55,0
net1-Rand_0_1,BruteForce,"[15, 19, 2, 1, 18, 3, 6, 8, 13, 14, 10]",TRUE,0.2,11,20,0.55,0
